amount,hour,day_of_week,merchant_cat,distance_km,prev_txn_hrs,v1,v2,v3,v4,v5,is_fraud
1293.95,7,1,travel,4.0,41.3,0.43188549592684083,0.043574257444906755,1.611864527562415,0.8672773419053661,-0.6509494045229333,0
15.73,11,6,grocery,18.3,23.9,1.1073637815595392,-1.2649420170223147,-0.18308954698023439,-0.7932931487012053,-1.1809040699235103,0
35.9,8,6,retail,7.9,19.8,0.8288045984192794,-1.5972911867343291,1.6037520072420148,-1.1729893637999433,-0.03736793055505897,0
54.7,22,1,retail,24.5,50.0,-0.11141394865103416,0.9847287023562008,0.7876741165522645,0.4156092787296948,-0.120942596957212,0
198.18,14,6,entertainment,35.3,23.3,0.6652174276204478,-0.3300506280838448,2.3626995666038844,0.08789601873783354,-1.901415872029922,0
17.97,12,6,grocery,16.3,27.1,-0.4808433525698616,0.7092129313163053,0.8529647579925319,0.18356107021854273,1.929388562793634,0
72.44,19,2,grocery,3.9,41.2,1.0374034799111278,-1.193903367032027,1.5009917641533574,0.0754301499704268,-0.280875559326763,0
65.32,8,3,grocery,10.3,37.6,-1.8437650396033447,-0.5639218657667926,0.3600681100042998,0.7921340150964609,1.2939072377154415,0
123.95,21,6,retail,24.1,42.4,1.2617796570239252,-1.8810992196221918,0.1441425314149125,1.06552306507508,-0.3431754576589159,0
51.08,10,0,retail,10.2,16.8,0.14098843161742622,0.9034402304126233,1.8134370781809486,0.05518488005041919,1.376033534374014,0
448.8,16,0,grocery,2.0,11.6,0.7629377078192788,0.8553203236278893,0.6360400792087549,0.4271524375748847,-0.935469299324393,0
94.94,17,5,travel,18.2,31.2,-0.027951438584109672,1.265795178357088,0.8131200946478037,0.5559957096173787,0.045360085997832734,0
12.94,9,4,grocery,7.3,14.0,-0.09812351479334705,-0.46478162133256223,1.5967792796832116,0.7347428056049858,-1.7288891520743637,0
211.43,7,1,travel,17.6,36.7,-0.2795516052126571,-0.004955410473404662,0.9600659110632105,-0.2589428449858191,0.9471113829373615,0
84.16,8,0,travel,16.0,39.5,-1.7934013206950685,-0.14063789124891563,0.7399369781058054,0.31653518427696636,0.18278972934854876,0
18.75,7,2,entertainment,17.7,36.8,0.9466178571800601,-0.27774503688924707,1.2083082010751327,-0.662174527292786,-0.015049165849283428,0
